Course_Original,Course_Number,Section,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 25,Seats Available after Phase 25,Phase 25 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price
33401-01,33401,01,Money and Banking,Spring,2024,"Tuesday, 01:30 pm - 04:30 pm","Kroszner, Randall",65.0,CLO,6431.0,65.0,CLO,8500.0,,,,,,,,,,65.0,CLO,0.0
33401-02,33401,02,Money and Banking,Spring,2024,"Wednesday, 01:30 pm - 04:30 pm","Kroszner, Randall",65.0,CLO,5801.0,65.0,CLO,20648.0,,,,,,,,,,65.0,CLO,0.0
33401-81,33401,81,Money and Banking,Spring,2024,"Tuesday, 6:00 pm - 9:00 pm","Kroszner, Randall",50.0,15,0.0,61.0,4,0.0,,,,61.0,4,0.0,61.0,4,0.0,65.0,CLO,10000.0
33451-81,33451,81,Real Estate Investments II,Spring,2024,"Thursday, 6:00 pm - 9:00 pm","Pagliari, Joseph",17.0,48,0.0,18.0,47,0.0,,,,18.0,47,0.0,18.0,47,0.0,21.0,44,0.0
33451-85,33451,85,Real Estate Investments II,Spring,2024,"Saturday, 9:00 am - 12:00 pm","Pagliari, Joseph",11.0,54,0.0,13.0,52,0.0,,,,13.0,52,0.0,13.0,52,0.0,15.0,50,0.0
33520-01,33520,01,The Wealth of Nations,Spring,2024,"Tuesday, 03:00 pm - 06:00 pm","Hsieh, Chang-Tai",65.0,CLO,1.0,65.0,CLO,5.0,,,,,,,,,,59.0,6,0.0
33520-81,33520,81,The Wealth of Nations,Spring,2024,"Monday, 6:00 pm - 9:00 pm","Hsieh, Chang-Tai",25.0,40,0.0,29.0,36,0.0,,,,32.0,33,0.0,32.0,33,0.0,31.0,34,0.0
33520-85,33520,85,The Wealth of Nations,Spring,2024,"Saturday, 1:30 pm - 4:30 pm","Hsieh, Chang-Tai",49.0,16,0.0,55.0,10,0.0,,,,56.0,9,0.0,56.0,9,0.0,65.0,CLO,6002.0
33610-60,33610,60,Applied Economics Workshop,Spring,2024,"Wednesday, 01:20 pm - 02:50 pm","Campos, Christopher; Humlum, Anders",8.0,27,0.0,9.0,26,0.0,,,,,,,,,,9.0,26,0.0
33630-60,33630,60,Workshop: Money and Banking,Spring,2024,"Wednesday, 03:30 pm - 05:00 pm","Guerrieri, Veronica",0.0,30,0.0,0.0,30,0.0,,,,,,,,,,0.0,30,0.0
33650-60,33650,60,Workshop in Macro and International Economics,Spring,2024,"Monday, 11:45 am - 01:15 pm","Dingel, Jonathan",0.0,65,0.0,0.0,65,0.0,,,,,,,,,,0.0,65,0.0
33905-50,33905,50,Microeconomics Reading and Research Seminar,Spring,2024,"Monday, 03:30 pm - 05:00 pm","Budish, Eric; Notowidigdo, Matthew",1.0,21,0.0,2.0,20,0.0,,,,,,,,,,2.0,20,0.0
33915-50,33915,50,Market Design,Spring,2024,"Friday, 10:00 am - 01:00 pm","Budish, Eric; Leshno, Jacob",4.0,16,0.0,4.0,16,0.0,,,,,,,,,,4.0,16,0.0
33918-50,33918,50,Topics in Labor Economics,Spring,2024,"Wednesday, 09:00 am - 12:00 pm","Campos, Christopher; Mountjoy, Jack; Notowidigdo, Matthew",3.0,17,0.0,3.0,17,0.0,,,,,,,,,,3.0,17,0.0
33942-50,33942,50,Applied Macroeconomics: Micro Data for Macro Models,Spring,2024,"Monday, 1:30 pm - 4:30 pm","Hsieh, Chang-Tai; Hurst, Erik",1.0,34,0.0,1.0,34,0.0,,,,,,,,,,2.0,33,0.0
33948-50,33948,50,Financial Markets in the Macroeconomy,Spring,2024,"Thursday, 1:30 pm - 4:30 pm","Guerrieri, Veronica",0.0,22,0.0,0.0,22,0.0,,,,,,,,,,0.0,22,0.0
34101-01,34101,01,Entrepreneurial Finance and Private Equity,Spring,2024,"Monday, 01:30 pm - 04:30 pm","Zwick, Eric",48.0,17,0.0,54.0,11,0.0,,,,,,,,,,49.0,16,0.0
34101-81,34101,81,Entrepreneurial Finance and Private Equity,Spring,2024,"Monday, 6:00 pm - 9:00 pm","Zwick, Eric",17.0,48,0.0,17.0,48,0.0,,,,17.0,48,0.0,17.0,48,0.0,27.0,38,0.0
34102-01,34102,01,New Venture Strategy,Spring,2024,"Wednesday, 01:30 pm - 04:30 pm","Bunch, Gregory",43.0,22,0.0,56.0,9,0.0,,,,,,,,,,64.0,1,0.0
34102-81,34102,81,New Venture Strategy,Spring,2024,"Wednesday, 6:00 pm - 9:00 pm","Bacon, Jeremie",22.0,43,0.0,22.0,43,0.0,,,,22.0,43,0.0,22.0,43,0.0,19.0,46,0.0
34103-01,34103,01,Building the New Venture,Spring,2024,"Monday, 1:30 pm - 4:30 pm","Breuer, Ale",16.0,29,0.0,17.0,28,0.0,,,,,,,,,,16.0,29,0.0
34103-85,34103,85,Building the New Venture,Spring,2024,"Saturday, 1:30 pm - 4:30 pm","Sachs, Dan",24.0,21,0.0,22.0,23,0.0,,,,22.0,23,0.0,23.0,22,0.0,27.0,18,0.0
34106-01,34106,01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Spring,2024,"Friday, 08:30 am - 11:30 am","Meadow, Scott",55.0,CLO,3000.0,55.0,CLO,6000.0,,,,,,,,,,55.0,CLO,6334.0
34106-85,34106,85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Spring,2024,"Saturday, 9:00 am - 12:00 pm","Meadow, Scott",55.0,CLO,100.0,54.0,1,0.0,,,,55.0,CLO,3760.0,55.0,CLO,0.0,55.0,CLO,10540.0
34108-01,34108,01,Innovation Leadership,Spring,2024,"Tuesday, 05:00 pm - 08:00 pm","Janega, James",29.0,11,0.0,32.0,8,0.0,,,,32.0,8,0.0,32.0,8,0.0,26.0,14,0.0
34111-01,34111,01,Entrepreneurial Selling,Spring,2024,"Tuesday, 01:30 pm - 04:30 pm","Alter, Michael",43.0,22,0.0,51.0,14,0.0,,,,,,,,,,51.0,14,0.0
34111-81,34111,81,Entrepreneurial Selling,Spring,2024,"Tuesday, 6:00 pm - 9:00 pm","Alter, Michael",34.0,31,0.0,37.0,28,0.0,,,,40.0,25,0.0,40.0,25,0.0,43.0,22,0.0
34205-81,34205,81,Life Sciences: Innovation and Finance,Spring,2024,"Tuesday, 6:00 pm - 9:00 pm","Fairbank, Joshua",55.0,CLO,2775.0,55.0,CLO,16300.0,,,,55.0,CLO,0.0,55.0,CLO,0.0,55.0,CLO,23001.0
34219-01,34219,01,Institutional Private Capital Investing,Spring,2024,"Thursday, 3:00 pm - 6:00 pm","Hepp, Stefan",41.0,24,0.0,60.0,5,0.0,,,,60.0,5,0.0,60.0,5,0.0,61.0,4,0.0
34219-85,34219,85,Institutional Private Capital Investing,Spring,2024,"Saturday, 1:30 pm - 4:30 pm","Hepp, Stefan",25.0,40,0.0,25.0,40,0.0,,,,26.0,39,0.0,26.0,39,0.0,27.0,38,0.0
34220-81,34220,81,Advanced New Venture Strategy Workshop,Spring,2024,"Thursday, 6:00 pm - 9:00 pm","Schrager, James",40.0,CLO,5000.0,40.0,CLO,15000.0,,,,40.0,CLO,0.0,40.0,CLO,0.0,40.0,CLO,0.0
34905-50,34905,50,Asset Pricing III,Spring,2024,"Tuesday, 08:30 am - 11:30 am","Constantinides, George; Nagel, Stefan",2.0,18,0.0,2.0,18,0.0,,,,,,,,,,2.0,18,0.0
34906-50,34906,50,Corporate Finance III,Spring,2024,"Friday, 08:30 am - 11:30 am","Diamond, Douglas; Rajan, Raghuram",0.0,35,0.0,0.0,35,0.0,,,,,,,,,,1.0,34,0.0
35000-01,35000,01,Investments,Spring,2024,"Wednesday, 8:30 am - 11:30 am","Weber, Michael",65.0,CLO,2298.0,65.0,CLO,8359.0,,,,,,,,,,65.0,CLO,5210.0
35000-02,35000,02,Investments,Spring,2024,"Tuesday, 8:30 am - 11:30 am","Heaton, John",65.0,CLO,903.0,65.0,CLO,3087.0,,,,,,,,,,65.0,CLO,3000.0
35000-81,35000,81,Investments,Spring,2024,"Tuesday, 6:00 pm - 9:00 pm","Weber, Michael",36.0,29,0.0,39.0,26,0.0,,,,39.0,26,0.0,39.0,26,0.0,65.0,CLO,3105.0
35120-01,35120,01,Portfolio Management,Spring,2024,"Thursday, 08:30 am - 11:30 am","Pastor, Lubos",44.0,21,0.0,55.0,10,0.0,,,,55.0,10,0.0,55.0,10,0.0,60.0,5,0.0
35120-02,35120,02,Portfolio Management,Spring,2024,"Thursday, 01:30 pm - 04:30 pm","Pastor, Lubos",55.0,10,0.0,57.0,8,0.0,,,,58.0,7,0.0,58.0,7,0.0,60.0,5,0.0
35120-85,35120,85,Portfolio Management,Spring,2024,"Saturday, 9:00 am - 12:00 pm","Pastor, Lubos",61.0,4,0.0,62.0,3,0.0,,,,62.0,3,0.0,62.0,3,0.0,62.0,3,0.0
35123-01,35123,01,The FinTech Revolution,Spring,2024,"Tuesday, 8:30 am - 11:30 am","Zingales, Luigi",65.0,CLO,1006.0,65.0,CLO,12001.0,,,,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,10920.0
35123-81,35123,81,The FinTech Revolution,Spring,2024,"Tuesday, 6:00 pm - 9:00 pm","Zingales, Luigi",34.0,31,0.0,30.0,35,0.0,,,,30.0,35,0.0,30.0,35,0.0,65.0,2,0.0
35130-81,35130,81,Fixed Income Asset Pricing,Spring,2024,"Monday, 6:00 pm - 9:00 pm","Heaton, John",18.0,47,0.0,21.0,44,0.0,,,,21.0,44,0.0,21.0,44,0.0,22.0,43,0.0
35135-01,35135,01,"Blockchain, Cryptocurrencies, and Web3",Spring,2024,"Friday, 1:30 pm - 4:30 pm","Malani, Anup; Zhang, Anthony",23.0,10,0.0,31.0,2,0.0,,,,31.0,2,0.0,31.0,2,0.0,28.0,5,0.0
35200-01,35200,01,Corporation Finance,Spring,2024,"Thursday, 08:30 am - 11:30 am","Noel, Pascal",65.0,CLO,1362.0,65.0,CLO,9777.0,,,,,,,,,,65.0,CLO,0.0
35200-02,35200,02,Corporation Finance,Spring,2024,"Thursday, 01:30 pm - 04:30 pm","Noel, Pascal",65.0,16,0.0,65.0,CLO,1113.0,,,,,,,,,,65.0,CLO,2601.0
35200-81,35200,81,Corporation Finance,Spring,2024,"Thursday, 6:00 pm - 9:00 pm","Noel, Pascal",41.0,24,0.0,44.0,21,0.0,,,,44.0,21,0.0,44.0,21,0.0,65.0,CLO,2115.0
35201-01,35201,01,Cases in Financial Management,Spring,2024,"Tuesday, 08:30 am - 11:30 am","Born, Laura",65.0,CLO,10000.0,65.0,CLO,23329.0,,,,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,0.0
35201-81,35201,81,Cases in Financial Management,Spring,2024,"Friday, 6:00 pm - 9:00 pm","Pierce, Joshua",41.0,24,0.0,45.0,20,0.0,,,,45.0,20,0.0,45.0,20,0.0,55.0,12,0.0
35225-01,35225,01,Crony Capitalism,Spring,2024,"Thursday, 8:30 am - 11:30 am","Zingales, Luigi",33.0,CLO,4500.0,33.0,CLO,13913.0,,,,33.0,CLO,0.0,33.0,CLO,0.0,33.0,CLO,0.0
35600-60,35600,60,Seminar: Finance,Spring,2024,"Tuesday, 01:20 pm - 02:50 pm","Constantinides, George; Ma, Yueran",0.0,65,0.0,0.0,65,0.0,,,,,,,,,,1.0,64,0.0
35601-60,35601,60,Applied Theory Workshop,Spring,2024,"Tuesday, 03:30 pm - 05:00 pm","Staff, Staff",0.0,65,0.0,0.0,65,0.0,,,,,,,,,,0.0,65,0.0
35932-01,35932,01,Research Seminar,Spring,2024,"Thursday,Tuesday, 02:00 pm - 03:20 pm","Lorenzoni, Guido",0.0,20,0.0,0.0,20,0.0,,,,,,,,,,0.0,20,0.0
35932-50,35932,50,Research Seminar,Spring,2024,"Wednesday, 3:00 pm - 4:30 pm","Nagel, Stefan; Zwick, Eric",2.0,18,0.0,2.0,18,0.0,,,,,,,,,,2.0,12,0.0
36106-01,36106,01,Managerial Decision Modeling,Spring,2024,"Monday, 08:30 am - 11:30 am","Afèche, Philipp",40.0,19,0.0,42.0,3,0.0,,,,,,,,,,34.0,11,0.0
36106-02,36106,02,Managerial Decision Modeling,Spring,2024,"Monday, 01:30 pm - 04:30 pm","Afèche, Philipp",45.0,CLO,1500.0,40.0,5,0.0,,,,,,,,,,45.0,CLO,36.0
36109-01,36109,01,Advanced Decision Models with Python,Spring,2024,"Wednesday, 1:30 pm - 4:30 pm","Eisenstein, Donald",30.0,CLO,4837.0,30.0,CLO,11511.0,,,,30.0,CLO,0.0,30.0,CLO,0.0,30.0,CLO,0.0
36109-02,36109,02,Advanced Decision Models with Python,Spring,2024,"Thursday, 1:30 pm - 4:30 pm","Eisenstein, Donald",30.0,CLO,2237.0,30.0,CLO,3500.0,,,,30.0,CLO,0.0,30.0,CLO,0.0,30.0,CLO,0.0
36109-81,36109,81,Advanced Decision Models with Python,Spring,2024,"Thursday, 6:00 pm - 9:00 pm","Eisenstein, Donald",13.0,17,0.0,14.0,16,0.0,,,,16.0,14,0.0,16.0,14,0.0,25.0,5,0.0
36110-01,36110,01,Application Development,Spring,2024,"Thursday, 01:30 pm - 04:30 pm","Betina, Raghu",30.0,CLO,3333.0,30.0,CLO,8351.0,,,,,,,,,,30.0,CLO,0.0
36110-81,36110,81,Application Development,Spring,2024,"Wednesday, 6:00 pm - 9:00 pm","Betina, Raghu",13.0,17,0.0,14.0,16,0.0,,,,14.0,16,0.0,14.0,16,0.0,30.0,CLO,100.0
36600-60,36600,60,Workshop in Operations/Management Science,Spring,2024,"Tuesday, 12:10 pm - 01:10 pm","Niazadeh, Rad; Zhong, Yuan",4.0,61,0.0,6.0,59,0.0,,,,,,,,,,7.0,58,0.0
36902-50,36902,50,Dynamic Programming/Markov Decision Processes,Spring,2024,"Monday, 08:30 am - 11:30 am","Caldentey, Rene",3.0,19,0.0,5.0,17,0.0,,,,,,,,,,5.0,17,0.0
36922-50,36922,50,"Online Learning, Operations, and Electronic Markets",Spring,2024,"Friday, 9:00 am - 12:00 pm","Niazadeh, Rad",6.0,16,0.0,7.0,15,0.0,,,,,,,,,,8.0,14,0.0
37000-01,37000,01,Marketing Strategy,Spring,2024,"Wednesday, 08:30 am - 11:30 am","Smith, Stephanie",32.0,33,0.0,34.0,31,0.0,,,,,,,,,,34.0,31,0.0
37000-02,37000,02,Marketing Strategy,Spring,2024,"Thursday, 08:30 am - 11:30 am","Smith, Stephanie",19.0,46,0.0,23.0,42,0.0,,,,,,,,,,25.0,40,0.0
37000-85,37000,85,Marketing Strategy,Spring,2024,"Saturday, 1:30 pm - 4:30 pm","Krohn, Christopher",21.0,44,0.0,22.0,43,0.0,,,,28.0,37,0.0,26.0,39,0.0,32.0,33,0.0
37101-01,37101,01,Consumer Behavior,Spring,2024,"Wednesday, 05:00 pm - 08:00 pm","Donnelly, Kristin",47.0,18,0.0,64.0,1,0.0,,,,,,,,,,56.0,9,0.0
37101-85,37101,85,Consumer Behavior,Spring,2024,"Saturday, 1:30 pm - 4:30 pm","Donnelly, Kristin",17.0,48,0.0,14.0,51,0.0,,,,16.0,49,0.0,16.0,49,0.0,24.0,41,0.0
37103-01,37103,01,Data-Driven Marketing,Spring,2024,"Tuesday, 01:30 pm - 04:30 pm","Hitsch, Guenter",34.0,31,0.0,38.0,27,0.0,,,,38.0,27,0.0,38.0,27,0.0,38.0,27,0.0
37103-02,37103,02,Data-Driven Marketing,Spring,2024,"Wednesday, 01:30 pm - 04:30 pm","Hitsch, Guenter",32.0,33,0.0,43.0,22,0.0,,,,43.0,22,0.0,43.0,22,0.0,40.0,25,0.0
37103-81,37103,81,Data-Driven Marketing,Spring,2024,"Wednesday, 6:00 pm - 9:00 pm","Hitsch, Guenter",19.0,46,0.0,15.0,50,0.0,,,,15.0,50,0.0,15.0,50,0.0,16.0,49,0.0
37200-85,37200,85,New Products and Services,Spring,2024,"Saturday, 9:00 am - 12:00 pm","Terrill, Craig",28.0,27,0.0,25.0,30,0.0,,,,26.0,29,0.0,26.0,29,0.0,30.0,25,0.0
37202-01,37202,01,Pricing Strategies,Spring,2024,"Wednesday, 01:30 pm - 04:30 pm","Dubé, Jean-Pierre",65.0,CLO,9568.0,65.0,CLO,23487.0,,,,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,0.0
37202-02,37202,02,Pricing Strategies,Spring,2024,"Thursday, 01:30 pm - 04:30 pm","Dubé, Jean-Pierre",65.0,CLO,8600.0,65.0,CLO,12801.0,,,,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,28867.0
37202-81,37202,81,Pricing Strategies,Spring,2024,"Thursday, 6:00 pm - 9:00 pm","Dubé, Jean-Pierre",65.0,CLO,5477.0,65.0,CLO,6010.0,,,,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,22202.0
37209-01,37209,01,Brand Management in a Digital Age,Spring,2024,"Monday, 05:00 pm - 08:00 pm","Hafen, Tom",65.0,CLO,521.0,65.0,CLO,10.0,,,,65.0,CLO,0.0,65.0,CLO,0.0,65.0,CLO,2024.0
37212-01,37212,01,Business with Purpose,Spring,2024,"Thursday, 01:30 pm - 04:30 pm","Sussman, Abigail",17.0,48,0.0,20.0,45,0.0,,,,20.0,45,0.0,20.0,45,0.0,18.0,47,0.0
37212-81,37212,81,Business with Purpose,Spring,2024,"Thursday, 6:00 pm - 9:00 pm","Sussman, Abigail",11.0,54,0.0,10.0,55,0.0,,,,10.0,55,0.0,10.0,55,0.0,11.0,27,0.0
37601-60,37601,60,Marketing Workshop,Spring,2024,"Tuesday, 10:40 am - 12:00 pm","Kraft, Andreas; Smith, Stephanie",2.0,63,0.0,4.0,61,0.0,,,,,,,,,,4.0,61,0.0
37907-50,37907,50,Behavioral Science Research Methods in Marketing,Spring,2024,"Thursday, 1:30 pm - 4:30 pm","Urminsky, Oleg",5.0,15,0.0,5.0,15,0.0,,,,,,,,,,5.0,15,0.0
38001-01,38001,01,Managing in Organizations,Spring,2024,"Wednesday, 08:30 am - 11:30 am","Fishbach, Ayelet",34.0,32,0.0,42.0,23,0.0,,,,,,,,,,40.0,25,0.0
38001-02,38001,02,Managing in Organizations,Spring,2024,"Wednesday, 01:30 pm - 04:30 pm","Fishbach, Ayelet",65.0,CLO,7.0,65.0,CLO,200.0,,,,,,,,,,65.0,CLO,1000.0
38001-85,38001,85,Managing in Organizations,Spring,2024,"Saturday, 9:00 am - 12:00 pm","Fishbach, Ayelet",21.0,44,0.0,19.0,46,0.0,,,,22.0,43,0.0,21.0,44,0.0,32.0,33,0.0
38002-01,38002,01,Managerial Decision Making,Spring,2024,"Monday, 1:30 pm - 4:30 pm","Hastie, Reid",48.0,17,0.0,55.0,10,0.0,,,,55.0,10,0.0,55.0,10,0.0,53.0,12,0.0
38002-02,38002,02,Managerial Decision Making,Spring,2024,"Wednesday, 8:30 am - 11:30 am","Hastie, Reid",59.0,6,0.0,61.0,4,0.0,,,,61.0,4,0.0,61.0,4,0.0,59.0,6,0.0
38002-81,38002,81,Managerial Decision Making,Spring,2024,"Monday, 6:00 pm - 9:00 pm","Hastie, Reid",36.0,29,0.0,28.0,37,0.0,,,,28.0,37,0.0,28.0,37,0.0,30.0,35,0.0
38003-01,38003,01,Power and Influence in Organizations,Spring,2024,"Tuesday, 08:30 am - 11:30 am","Levine, Emma",58.0,7,0.0,62.0,7,0.0,,,,,,,,,,65.0,3,0.0
38003-02,38003,02,Power and Influence in Organizations,Spring,2024,"Wednesday, 08:30 am - 11:30 am","Levine, Emma",58.0,7,0.0,65.0,CLO,2679.0,,,,,,,,,,65.0,CLO,13727.0
38003-81,38003,81,Power and Influence in Organizations,Spring,2024,"Tuesday, 6:00 pm - 9:00 pm","Levine, Emma",34.0,31,0.0,32.0,33,0.0,,,,37.0,28,0.0,37.0,28,0.0,40.0,25,0.0
38102-81,38102,81,Persuasion II: Influence Through Narrative,Spring,2024,"Wednesday, 6:00 pm - 9:00 pm","Weitzman, Hal",36.0,CLO,100.0,36.0,CLO,5446.0,,,,36.0,CLO,0.0,36.0,CLO,0.0,36.0,CLO,269.0
38103-01,38103,01,Strategies and Processes of Negotiation,Spring,2024,"Tuesday, 05:00 pm - 08:00 pm","Jackson, Joshua",49.0,13,0.0,55.0,CLO,2387.0,,,,,,,,,,53.0,2,0.0
38103-02,38103,02,Strategies and Processes of Negotiation,Spring,2024,"Wednesday, 05:00 pm - 08:00 pm","Jackson, Joshua",55.0,CLO,111.0,55.0,CLO,4720.0,,,,,,,,,,55.0,2,0.0
38103-03,38103,03,Strategies and Processes of Negotiation,Spring,2024,"Thursday, 01:30 pm - 04:30 pm","Zinchenko, Elena",55.0,CLO,3196.0,55.0,CLO,6077.0,,,,,,,,,,55.0,CLO,9000.0
38103-85,38103,85,Strategies and Processes of Negotiation,Spring,2024,"Saturday, 1:30 pm - 4:30 pm","Zinchenko, Elena",46.0,9,0.0,47.0,8,0.0,,,,47.0,8,0.0,47.0,8,0.0,55.0,CLO,5000.0
38105-01,38105,01,Advanced Negotiations,Spring,2024,"Wednesday, 01:30 pm - 04:30 pm","Wu, George",40.0,CLO,6000.0,40.0,CLO,0.0,,,,40.0,CLO,0.0,40.0,CLO,0.0,40.0,CLO,0.0
38105-02,38105,02,Advanced Negotiations,Spring,2024,"Thursday, 01:30 pm - 04:30 pm","Wu, George",40.0,2,0.0,40.0,CLO,17535.0,,,,40.0,CLO,0.0,40.0,CLO,0.0,40.0,CLO,4000.0
38105-81,38105,81,Advanced Negotiations,Spring,2024,"Wednesday, 6:00 pm - 9:00 pm","Wu, George",23.0,17,0.0,25.0,15,0.0,,,,25.0,15,0.0,25.0,15,0.0,40.0,CLO,6379.0
38122-02,38122,02,Diversity in Organizations,Spring,2024,"Friday, 01:30 pm - 04:30 pm","Risen, Jane",10.0,55,0.0,10.0,55,0.0,,,,13.0,52,0.0,13.0,52,0.0,12.0,53,0.0
38122-85,38122,85,Diversity in Organizations,Spring,2024,"Saturday, 9:00 am - 12:00 pm","Risen, Jane",8.0,57,0.0,9.0,56,0.0,,,,11.0,54,0.0,11.0,54,0.0,14.0,51,0.0
38601-60,38601,60,Workshop in Behavioral Science,Spring,2024,"Monday, 10:10 am - 11:30 am","Kirgios, Erika; Todorov, Alexander",4.0,61,0.0,7.0,58,0.0,,,,,,,,,,9.0,56,0.0
38914-50,38914,50,Foundations of Social Psychology,Spring,2024,"Monday, 1:30 pm - 4:30 pm","Epley, Nicholas",8.0,6,0.0,10.0,4,0.0,,,,,,,,,,11.0,3,0.0
38918-50,38918,50,Behavioral Economics - Theory & the Lab,Spring,2024,"Tuesday, 01:30 pm - 04:30 pm","Imas, Alex",3.0,17,0.0,4.0,16,0.0,,,,,,,,,,4.0,16,0.0
39001-81,39001,81,Strategy and Structure: Markets and Organizations,Spring,2024,"Wednesday, 6:00 pm - 9:00 pm","Li, Ningzi",26.0,39,0.0,26.0,39,0.0,,,,33.0,32,0.0,33.0,32,0.0,36.0,29,0.0
39101-01,39101,01,Technology Strategy,Spring,2024,"Friday, 1:30 pm - 4:30 pm","Knez, Marc",54.0,11,0.0,60.0,5,0.0,,,,,,,,,,55.0,10,0.0
39101-85,39101,85,Technology Strategy,Spring,2024,"Saturday, 1:30 pm - 4:30 pm","Knez, Marc",26.0,39,0.0,26.0,39,0.0,,,,26.0,39,0.0,26.0,39,0.0,34.0,31,0.0
40000-01,40000,01,Operations Management: Business Process Fundamentals,Spring,2024,"Wednesday, 08:30 am - 11:30 am","Zhong, Yuan",65.0,CLO,700.0,65.0,CLO,1000.0,,,,,,,,,,65.0,CLO,344.0
40000-02,40000,02,Operations Management: Business Process Fundamentals,Spring,2024,"Thursday, 08:30 am - 11:30 am","Zhong, Yuan",65.0,4,0.0,65.0,3,0.0,,,,,,,,,,65.0,1,0.0
40000-81,40000,81,Operations Management: Business Process Fundamentals,Spring,2024,"Wednesday, 6:00 pm - 9:00 pm","Zhong, Yuan",30.0,35,0.0,30.0,35,0.0,,,,30.0,35,0.0,30.0,35,0.0,65.0,CLO,8.0
40108-81,40108,81,Revenue Management,Spring,2024,"Thursday, 6:00 pm - 9:00 pm","Caldentey, Rene",16.0,49,0.0,17.0,48,0.0,,,,17.0,48,0.0,17.0,48,0.0,25.0,40,0.0
40110-01,40110,01,Managing Service Operations,Spring,2024,"Tuesday, 08:30 am - 11:30 am","Ward, Amy",45.0,CLO,1210.0,45.0,CLO,3389.0,,,,45.0,CLO,0.0,45.0,CLO,0.0,45.0,CLO,8197.0
40110-81,40110,81,Managing Service Operations,Spring,2024,"Tuesday, 6:00 pm - 9:00 pm","Ward, Amy",24.0,21,0.0,28.0,17,0.0,,,,29.0,16,0.0,29.0,16,0.0,41.0,7,0.0
41000-02,41000,02,Business Statistics,Spring,2024,"Monday,Wednesday, 10:10 am - 11:30 am","Deb, Nabarun",14.0,51,0.0,15.0,50,0.0,,,,,,,,,,21.0,44,0.0
41000-81,41000,81,Business Statistics,Spring,2024,"Friday, 6:00 pm - 9:00 pm","Carvalho, Carlos",42.0,23,0.0,45.0,20,0.0,,,,51.0,14,0.0,51.0,14,0.0,55.0,10,0.0
41000-85,41000,85,Business Statistics,Spring,2024,"Saturday, 9:00 am - 12:00 pm","Carvalho, Carlos",22.0,43,0.0,21.0,44,0.0,,,,27.0,38,0.0,26.0,39,0.0,27.0,38,0.0
41201-01,41201,01,Big Data,Spring,2024,"Tuesday, 01:30 pm - 04:30 pm","Rockova, Veronika",39.0,26,0.0,47.0,18,0.0,,,,47.0,18,0.0,47.0,18,0.0,45.0,20,0.0
41201-02,41201,02,Big Data,Spring,2024,"Wednesday, 01:30 pm - 04:30 pm","Rockova, Veronika",10.0,55,0.0,18.0,47,0.0,,,,18.0,47,0.0,19.0,46,0.0,21.0,44,0.0
41201-81,41201,81,Big Data,Spring,2024,"Tuesday, 6:00 pm - 9:00 pm","Rockova, Veronika",28.0,37,0.0,29.0,36,0.0,,,,29.0,36,0.0,29.0,36,0.0,25.0,40,0.0
41600-60,41600,60,Econometrics and Statistics Colloquium,Spring,2024,"Thursday, 01:20 pm - 02:30 pm","Smetanina, Ekaterina (Katja); Toulis (Panos), Panagiotis",5.0,30,0.0,6.0,29,0.0,,,,,,,,,,6.0,29,0.0
41903-50,41903,50,Applied Econometrics,Spring,2024,"Monday,Wednesday, 3:10 pm - 4:30 pm","Hansen, Christian",14.0,6,0.0,16.0,4,0.0,,,,16.0,4,0.0,16.0,4,0.0,16.0,4,0.0
42001-01,42001,01,Competitive Strategy,Spring,2024,"Wednesday, 08:30 am - 11:30 am","Covert, Thomas",65.0,CLO,354.0,65.0,CLO,7000.0,,,,,,,,,,65.0,CLO,1000.0
42001-81,42001,81,Competitive Strategy,Spring,2024,"Wednesday, 6:00 pm - 9:00 pm","Covert, Thomas",20.0,45,0.0,16.0,49,0.0,,,,19.0,46,0.0,19.0,46,0.0,35.0,32,0.0
42001-85,42001,85,Competitive Strategy,Spring,2024,"Saturday, 1:30 pm - 4:30 pm","Covert, Thomas",36.0,29,0.0,36.0,29,0.0,,,,36.0,29,0.0,36.0,29,0.0,38.0,27,0.0
42005-81,42005,81,Literature and Leadership,Spring,2024,"Monday, 6:00 pm - 9:00 pm","Barry, Brian",34.0,31,0.0,37.0,28,0.0,,,,37.0,28,0.0,37.0,28,0.0,31.0,34,0.0
